Year;active employees;retired employees;Total Employees;current widows;new widows;spouses of active employees;spouses of retired employees;Total Spouses;children of active employees;children of retired employees;orphans;Total Children
0;66,0;34,0;100,0;25,0;0,0;39,0;25,0;64,0;56,0;29,0;0;85,0
1;65,85685295017753;32,615227860601024;98,47208081077855;24,18638333153527;0,9342655183338081;38,82934816937899;23,2779522140135;62,107300383392484;55,75782854569549;28,956487444239123;0;84,71431598993462
2;65,70576784815246;31,170925917392413;96,87669376554487;23,333134366510603;1,749947114906285;38,64742477723235;21,635573794168018;60,28299857140037;55,7280102417943;28,926624028164145;0;84,65463426995845
3;65,54706949075869;29,66616169207058;95,21323118282928;22,437856531807135;2,45621976630901;38,4542508477768;20,08303415629654;58,53728500407334;55,705764825125314;28,895403843337707;0;84,60116866846302
4;65,38034222603528;28,106474055294246;93,48681628132952;21,503314708261826;3,06226956882451;38,24930842595877;18,618638139017488;56,867946564976265;55,68640252451308;28,86251706151926;0;84,54891958603234
5;65,20504773420384;26,497457278477704;91,70250501268154;20,525959870117568;3,5758359235484845;38,03078373647343;17,239042753997115;55,26982649047055;55,66862729440584;28,828402987412662;0;84,4970302818185
6;65,02018348527261;24,84919080997186;89,86937429524447;19,511129585549263;4,003875724662847;37,79855049952295;15,940695810343065;53,73924630986602;55,65105988388516;28,792641026989415;0;84,44370091087458
7;64,8242290089791;23,17553580621765;87,99976481519676;18,461332225316138;4,356521368733264;37,55149457432758;14,725763676611884;52,27725825093946;55,633452294160115;28,7549738553252;0;84,38842614948531
8;64,61655195574747;21,49180188964575;86,10835384539322;17,37695385042896;4,632936990787302;37,28895360387671;13,578138280563435;50,86709188444015;55,616168498839016;28,715320399242742;0;84,33148889808176
9;63,489131702140696;20,72064429075628;84,20977599289698;16,261690077791876;4,846424793132854;37,0092376893415;12,507984934851873;49,517222624193366;55,59816714185009;28,67355008807971;0;84,2717172299298
10;63,26863446798783;19,04965743636925;82,31829190435708;15,125852426318982;4,997967110920388;36,71154640636437;11,495714713239462;48,20726111960383;55,579132131529626;28,629359570355682;0;84,20849170188531
11;63,032973373720374;17,416466829477603;80,44944020319798;13,969268042070903;5,101706223058936;36,395112887156166;10,550408982847811;46,94552187000398;55,55895810752789;28,582170874862385;0;84,14112898239028
12;62,78114188336484;15,838625624359654;78,61976750772449;12,809760500453214;5,1630162738017775;36,06054415268679;9,661960392807309;45,7225045454941;55,53719353200799;28,531630670869323;0;84,06882420287731
13;62,51204530729442;14,336512397685183;76,84855770497961;11,654158558580868;5,188763047830236;35,70650789339407;8,832171061141596;44,53867895453566;55,51269556023182;28,477848121955937;0;83,99054368218776
14;61,34337814569126;13,80318299312078;75,14656113881205;10,519756307530777;5,1873006250316145;34,59366715144809;8,794197735113697;43,387864886561786;54,49233608417199;29,413465517563193;0;83,90580160173518
15;61,04907299085849;12,474311079260378;73,52338407011887;9,41582926538133;5,159149665761147;34,22153403363099;8,03460046016902;42,256134493800005;54,459962408095436;29,35093708052304;0;83,81089948861847
16;60,733223914800526;11,247235315862545;71,98045923066307;8,348286609233131;5,118167385733182;33,826869505726805;7,319630153608029;41,146499659334836;54,42028783182815;29,284312101075002;0;83,70459993290315
17;59,52512490625521;10,998794844526955;70,52391975078217;7,326967759122932;5,069834635395415;33,40774055879266;6,648695356673376;40,05643591546604;54,36961374998505;29,213353321521026;0;83,58296707150608
18;56,57735778000274;12,57443018861094;69,15178796861369;6,363502630661426;5,015062979364741;31,583989151196118;7,3917543452481524;38,97574349644427;51,34508344404563;32,102400999714284;0;83,44748444375992
19;54,51628641783185;13,344965308873503;67,86125172670535;5,466673976967251;4,9636698527309475;29,322580361746656;8,585837278899058;37,908417640645716;49,3305516083093;33,96556736271031;0;83,29611897101961
