age;ProbaDemission
16;0,0200
17;0,0200
18;0,0200
19;0,0200
20;0,0200
21;0,0200
22;0,0200
23;0,0200
24;0,0200
25;0,0200
26;0,0200
27;0,0200
28;0,0200
29;0,0200
30;0,0100
31;0,0100
32;0,0100
33;0,0100
34;0,0100
35;0,0100
36;0,0100
37;0,0100
38;0,0100
39;0,0100
40;0,0100
41;0,0100
42;0,0100
43;0,0100
44;0,0100
45;0,0000
46;0,0000
47;0,0000
48;0,0000
49;0,0000
50;0,0000
51;0,0000
52;0,0000
53;0,0000
54;0,0000
55;0,0000
56;0,0000
57;0,0000
58;0,0000
59;0,0000
60;0,0000
61;0,0000
62;0,0000
63;0,0000
64;0,0000
65;0,0000
66;0,0000
67;0,0000
68;0,0000
69;0,0000
70;0,0000
